voltage,current,airspeed,ms
329,0,561,67
329,0,561,68
329,0,562,68
329,0,561,68
329,0,561,69
329,0,561,69
329,0,561,69
329,0,561,70
329,0,561,70
329,0,561,70
329,0,560,71
329,0,560,71
329,0,561,71
329,0,561,72
329,0,561,72
329,0,561,72
329,0,560,73
329,0,561,73
329,0,561,73
329,0,561,74
329,0,561,74
329,0,561,74
329,0,561,75
329,0,560,75
329,0,560,75
329,0,561,76
329,0,561,76
329,0,561,76
329,0,561,77
329,0,561,77
329,0,560,77
329,0,561,78
329,0,560,78
329,0,561,78
329,0,560,79
329,0,561,79
329,0,561,79
329,0,561,80
329,0,561,80
329,0,561,80
329,0,561,81
329,0,561,81
329,0,561,81
329,0,561,82
329,0,560,82
329,0,561,82
329,0,561,83
329,0,561,83
329,0,561,83
329,0,561,84
329,0,562,84
329,0,562,84
329,0,561,86
329,0,562,86
329,0,561,86
329,0,561,86
329,0,560,87
329,0,561,87
329,0,560,87
329,0,561,88
329,0,561,88
329,0,561,88
329,0,561,89
329,0,561,89
329,0,561,89
329,0,561,90
329,0,561,90
329,0,562,90
329,0,561,91
329,0,561,91
329,0,561,1137
329,0,561,1137
329,0,561,1138
329,0,561,1138
329,0,561,1138
329,0,561,1139
329,0,561,1139
329,0,561,1139
329,0,561,1139
329,0,560,1140
329,0,561,1140
329,0,561,1140
329,0,561,1141
329,0,561,1141
329,0,560,1141
329,0,560,1142
329,0,560,1142
329,0,561,1142
329,0,560,1143
329,0,561,1143
329,0,560,1143
329,0,561,1144
329,0,561,1144
329,0,560,1144
329,0,560,1145
329,0,560,1145
329,0,560,1145
329,0,561,1146
329,0,561,1146
329,0,561,1146
329,0,560,1147
329,0,560,1147
329,0,561,1147
329,0,561,1148
329,0,561,1148
329,0,561,1148
329,0,560,1149
329,0,560,1149
329,0,560,1149
329,0,560,1150
329,0,561,1150
329,0,561,1150
329,0,561,1152
329,0,560,1152
329,0,561,1152
329,0,561,1153
329,0,560,1153
329,0,560,1153
329,0,561,1154
329,0,560,1154
329,0,560,1154
329,0,561,1155
329,0,561,1155
329,0,560,1155
329,0,560,1156
329,0,561,1156
329,0,560,1156
329,0,561,1157
329,0,560,1157
329,0,560,1157
329,0,560,1158
329,0,561,1158
329,0,561,1158
329,0,561,1159
329,0,560,1159
329,0,560,1159
329,0,561,1160
329,0,561,1160
329,0,560,1160
329,0,560,1161
329,0,560,2359
329,0,560,2360
329,0,560,2360
329,0,559,2360
329,0,560,2361
329,0,560,2361
329,0,560,2361
329,0,561,2362
329,0,560,2362
329,0,560,2362
329,0,560,2363
329,0,560,2363
329,0,560,2363
329,0,560,2364
329,0,560,2364
329,0,560,2364
329,0,560,2365
329,0,560,2365
329,0,560,2365
329,0,560,2366
329,0,560,2366
329,0,560,2366
329,0,560,2367
329,0,560,2367
329,0,560,2367
329,0,559,2368
329,0,560,2368
329,0,560,2368
329,0,560,2369
329,0,560,2369
329,0,560,2369
329,0,560,2370
329,0,560,2370
329,0,560,2370
329,0,560,2371
329,0,560,2371
329,0,561,2371
329,0,560,2372
329,0,560,2372
329,0,560,2372
329,0,560,2373
329,0,560,2373
329,0,560,2373
329,0,560,2374
329,0,560,2374
329,0,560,2374
329,0,560,2375
329,0,560,2375
329,0,560,2375
329,0,560,2376
329,0,560,2376
329,0,560,2376
329,0,559,2377
329,0,560,2377
329,0,560,2377
329,0,560,2378
329,0,560,2378
329,0,560,2378
329,0,560,2378
329,0,560,2379
329,0,560,2379
329,0,560,2379
329,0,560,2380
329,0,560,2380
329,0,560,2380
329,0,560,2381
329,0,560,2381
329,0,560,2381
329,0,561,2382
329,0,560,2382
329,0,559,3577
329,0,560,3577
329,0,559,3578
329,0,560,3578
329,0,559,3578
329,0,560,3579
329,0,560,3579
329,0,560,3579
329,0,560,3580
329,0,560,3580
329,0,560,3580
329,0,560,3581
329,0,559,3581
329,0,560,3581
329,0,559,3582
329,0,560,3582
329,0,560,3582
329,0,560,3584
329,0,560,3584
329,0,559,3584
329,0,560,3585
329,0,559,3585
329,0,560,3585
329,0,559,3586
329,0,560,3586
329,0,560,3586
329,0,560,3587
329,0,560,3587
329,0,560,3587
329,0,560,3587
329,0,559,3588
329,0,560,3588
329,0,559,3588
329,0,560,3589
329,0,560,3589
329,0,559,3589
329,0,559,3590
329,0,559,3590
329,0,560,3590
329,0,560,3591
329,0,560,3591
329,0,560,3591
329,0,560,3592
329,0,560,3592
329,0,560,3592
329,0,560,3593
329,0,559,3593
329,0,559,3593
329,0,560,3594
329,0,559,3594
329,0,560,3594
329,0,560,3595
329,0,560,3595
329,0,560,3595
329,0,559,3596
329,0,559,3596
329,0,560,3596
329,0,560,3597
329,0,560,3597
329,0,559,3597
329,0,559,3598
329,0,559,3598
329,0,560,3598
329,0,559,3599
329,0,560,3599
329,0,560,3599
329,0,559,3600
329,0,559,3600
329,0,560,3600
329,0,559,3601
329,0,559,4796
329,0,558,4796
329,0,559,4796
329,0,559,4796
329,0,559,4797
329,0,559,4797
329,0,559,4797
329,0,559,4798
329,0,559,4798
329,0,559,4798
329,0,558,4799
329,0,559,4799
329,0,559,4799
329,0,559,4800
329,0,559,4800
329,0,559,4800
329,0,559,4801
329,0,559,4801
329,0,558,4801
329,0,559,4802
329,0,558,4802
329,0,559,4802
329,0,559,4803
329,0,559,4803
329,0,559,4803
329,0,559,4804
329,0,559,4804
329,0,558,4804
329,0,559,4805
329,0,559,4805
329,0,559,4805
329,0,559,4806
329,0,559,4806
329,0,559,4806
329,0,558,4807
329,0,559,4807
329,0,559,4807
329,0,558,4808
329,0,559,4808
329,0,559,4808
329,0,559,4809
329,0,559,4809
329,0,559,4809
329,0,558,4810
329,0,559,4810
329,0,559,4810
329,0,559,4811
329,0,559,4811
329,0,559,4811
329,0,560,4812
329,0,559,4812
329,0,559,4812
329,0,559,4813
329,0,559,4813
329,0,559,4813
329,0,559,4814
329,0,559,4814
329,0,559,4814
329,0,559,4815
329,0,559,4815
329,0,559,4815
329,0,559,4816
329,0,558,4816
329,0,559,4816
329,0,559,4817
329,0,559,4817
329,0,559,4817
329,0,559,4818
329,0,559,4818
329,0,559,4818
329,0,558,6013
329,0,558,6013
329,0,559,6014
329,0,558,6014
329,0,558,6014
329,0,559,6016
329,0,558,6016
329,0,558,6016
329,0,558,6017
329,0,558,6017
329,0,558,6017
329,0,558,6018
329,0,558,6018
329,0,559,6018
329,0,559,6019
329,0,559,6019
329,0,559,6019
329,0,559,6020
329,0,559,6020
329,0,559,6020
329,0,558,6021
329,0,559,6021
329,0,559,6021
329,0,559,6022
329,0,559,6022
329,0,559,6022
329,0,559,6023
329,0,559,6023
329,0,559,6023
329,0,559,6024
329,0,559,6024
329,0,559,6024
329,0,559,6025
329,0,559,6025
329,0,559,6025
329,0,559,6026
329,0,559,6026
329,0,559,6026
329,0,559,6027
329,0,559,6027
329,0,559,6027
329,0,558,6027
329,0,558,6028
329,0,558,6028
329,0,559,6028
329,0,559,6029
329,0,558,6029
329,0,559,6029
329,0,559,6030
329,0,558,6030
329,0,559,6030
329,0,558,6031
329,0,559,6031
329,0,559,6031
329,0,559,6032
329,0,559,6032
329,0,559,6032
329,0,558,6033
329,0,559,6033
329,0,559,6033
329,0,559,6034
329,0,558,6034
329,0,559,6034
329,0,559,6035
329,0,559,6035
329,0,559,6035
329,0,559,6036
329,0,559,6036
329,0,559,6036
329,0,559,6037
329,0,558,7232
329,0,558,7232
329,0,558,7232
329,0,558,7233
329,0,559,7233
329,0,558,7233
329,0,558,7234
329,0,558,7234
329,0,558,7234
329,0,559,7235
329,0,559,7235
329,0,558,7235
329,0,558,7236
329,0,558,7236
329,0,559,7236
329,0,559,7237
329,0,559,7237
329,0,558,7237
329,0,558,7238
329,0,558,7238
329,0,558,7238
329,0,559,7239
329,0,558,7239
329,0,558,7239
329,0,558,7240
329,0,558,7240
329,0,559,7240
329,0,558,7240
329,0,559,7241
329,0,558,7241
329,0,559,7241
329,0,558,7242
329,0,558,7242
329,0,559,7242
329,0,558,7243
329,0,559,7243
329,0,559,7243
329,0,558,7244
329,0,559,7244
329,0,558,7244
329,0,558,7245
329,0,558,7245
329,0,559,7245
329,0,558,7246
329,0,558,7246
329,0,558,7246
329,0,559,7247
329,0,558,7247
329,0,559,7247
329,0,558,7248
329,0,559,7248
329,0,558,7248
329,0,558,7249
329,0,558,7249
329,0,558,7249
329,0,559,7250
329,0,559,7250
329,0,558,7250
329,0,559,7251
329,0,558,7251
329,0,559,7251
329,0,558,7252
329,0,558,7252
329,0,558,7252
329,0,559,7254
329,0,558,7254
329,0,558,7254
329,0,558,7255
329,0,559,7255
329,0,559,7255
329,0,558,8453
329,0,558,8453
329,0,558,8453
329,0,558,8454
329,0,558,8454
329,0,558,8454
329,0,558,8455
329,0,558,8455
329,0,558,8455
329,0,558,8456
329,0,557,8456
329,0,558,8456
329,0,558,8457
329,0,558,8457
329,0,558,8457
329,0,557,8458
329,0,557,8458
329,0,558,8458
329,0,558,8459
329,0,558,8459
329,0,558,8459
329,0,558,8460
329,0,558,8460
329,0,558,8460
329,0,558,8461
329,0,558,8461
329,0,558,8461
329,0,558,8462
329,0,558,8462
329,0,558,8462
329,0,558,8463
329,0,558,8463
329,0,558,8463
329,0,558,8464
329,0,557,8464
329,0,557,8464
329,0,557,8465
329,0,557,8465
329,0,557,8465
329,0,558,8466
329,0,557,8466
329,0,558,8466
329,0,558,8467
329,0,558,8467
329,0,558,8467
329,0,558,8468
329,0,558,8468
329,0,558,8468
329,0,558,8469
329,0,558,8469
329,0,558,8469
329,0,558,8470
329,0,558,8470
329,0,557,8470
329,0,557,8471
329,0,558,8471
329,0,557,8471
329,0,558,8472
329,0,558,8472
329,0,558,8472
329,0,558,8473
329,0,558,8473
329,0,558,8473
329,0,558,8474
329,0,558,8474
329,0,558,8474
329,0,558,8474
329,0,558,8475
329,0,558,8475
329,0,558,8475
329,0,558,9670
329,0,558,9671
329,0,558,9671
329,0,558,9671
329,0,558,9672
329,0,558,9672
329,0,558,9672
329,0,558,9673
329,0,558,9673
329,0,558,9673
329,0,558,9674
329,0,558,9674
329,0,558,9674
329,0,558,9675
329,0,558,9675
329,0,558,9675
329,0,558,9676
329,0,558,9676
329,0,558,9676
329,0,558,9677
329,0,558,9677
329,0,558,9677
329,0,558,9678
329,0,558,9678
329,0,557,9678
329,0,557,9679
329,0,558,9679
329,0,558,9679
329,0,558,9680
329,0,558,9680
329,0,558,9680
329,0,558,9681
329,0,558,9681
329,0,558,9681
329,0,558,9682
329,0,558,9682
329,0,558,9682
329,0,557,9683
329,0,558,9683
329,0,558,9683
329,0,558,9683
329,0,558,9684
329,0,558,9684
329,0,558,9684
329,0,558,9686
329,0,558,9686
329,0,558,9686
329,0,558,9687
329,0,558,9687
329,0,558,9687
329,0,558,9688
329,0,558,9688
329,0,558,9688
329,0,558,9689
329,0,558,9689
329,0,558,9689
329,0,558,9690
329,0,558,9690
329,0,558,9690
329,0,558,9691
329,0,558,9691
329,0,558,9691
329,0,558,9692
329,0,558,9692
329,0,558,9692
329,0,558,9693
329,0,558,9693
329,0,559,9693
329,0,558,9694
329,0,558,9694
329,0,557,10889
329,0,557,10889
329,0,557,10890
329,0,557,10890
329,0,558,10890
329,0,557,10891
329,0,557,10891
329,0,557,10891
329,0,557,10892
329,0,557,10892
329,0,558,10892
329,0,557,10892
329,0,557,10893
329,0,557,10893
329,0,557,10893
329,0,558,10894
329,0,558,10894
329,0,558,10894
329,0,558,10895
329,0,557,10895
329,0,557,10895
329,0,558,10896
329,0,557,10896
329,0,558,10896
329,0,557,10897
329,0,557,10897
329,0,557,10897
329,0,558,10898
