voltage,current,airspeed,ms
316,0,559,82
316,0,559,82
316,0,558,82
316,0,558,83
316,0,558,83
316,0,558,83
316,0,558,84
316,0,558,84
316,0,558,84
316,0,558,86
316,0,558,86
316,0,558,86
316,0,559,87
316,0,558,87
316,0,558,87
316,0,558,88
316,0,558,88
316,0,558,88
316,0,558,88
316,0,558,89
316,0,558,89
316,0,559,89
316,0,559,90
316,0,558,90
316,0,559,90
316,0,559,91
316,0,559,91
316,0,558,91
316,0,558,92
316,0,559,92
316,0,558,92
316,0,558,93
316,0,558,93
316,0,558,93
316,0,558,94
316,0,558,94
316,0,558,94
316,0,559,95
316,0,558,95
316,0,558,95
316,0,558,96
316,0,558,96
316,0,558,96
316,0,558,97
316,0,558,97
316,0,558,97
316,0,558,98
316,0,558,98
316,0,558,98
316,0,559,99
316,0,558,99
316,0,558,99
316,0,559,100
316,0,558,100
316,0,558,100
316,0,558,101
316,0,558,101
316,0,558,101
316,0,558,102
316,0,559,102
316,0,558,102
316,0,558,103
316,0,559,103
316,0,558,103
316,0,558,104
316,0,558,104
316,0,558,104
316,0,558,105
316,0,558,105
316,0,558,105
316,0,558,1169
316,0,558,1169
316,0,558,1169
316,0,558,1170
316,0,558,1170
316,0,558,1170
316,0,558,1171
316,0,558,1171
316,0,558,1171
316,0,557,1172
316,0,558,1172
316,0,558,1172
316,0,558,1173
316,0,558,1173
316,0,558,1173
316,0,558,1174
316,0,558,1174
316,0,558,1174
316,0,558,1175
316,0,558,1175
316,0,558,1175
316,0,558,1176
316,0,558,1176
316,0,558,1176
316,0,558,1177
316,0,558,1177
316,0,558,1177
316,0,557,1178
316,0,558,1178
316,0,558,1178
316,0,558,1179
316,0,558,1179
316,0,558,1179
316,0,558,1180
316,0,558,1180
316,0,558,1180
316,0,558,1181
316,0,558,1181
316,0,558,1181
316,0,559,1182
316,0,558,1182
316,0,558,1182
316,0,558,1183
316,0,558,1183
316,0,558,1183
316,0,558,1184
316,0,558,1184
316,0,558,1184
316,0,558,1185
316,0,558,1185
316,0,558,1185
316,0,557,1186
316,0,558,1186
316,0,558,1186
316,0,558,1186
316,0,558,1187
316,0,558,1187
316,0,558,1187
316,0,557,1188
316,0,558,1188
316,0,558,1188
316,0,558,1189
316,0,558,1189
316,0,559,1189
316,0,558,1190
316,0,558,1190
316,0,558,1190
316,0,558,1191
316,0,558,1191
316,0,558,1191
316,0,558,2387
316,0,558,2387
316,0,558,2387
316,0,558,2388
316,0,558,2388
316,0,557,2388
316,0,557,2390
316,0,557,2390
316,0,557,2390
316,0,557,2390
316,0,557,2391
316,0,557,2391
316,0,557,2391
316,0,558,2392
316,0,557,2392
316,0,558,2392
316,0,557,2393
316,0,557,2393
316,0,558,2393
316,0,558,2394
316,0,557,2394
316,0,558,2394
316,0,558,2395
316,0,558,2395
316,0,557,2395
316,0,557,2396
316,0,558,2396
316,0,558,2396
316,0,558,2397
316,0,558,2397
316,0,558,2397
316,0,558,2398
316,0,557,2398
316,0,557,2398
316,0,558,2399
316,0,558,2399
316,0,558,2399
316,0,557,2400
316,0,558,2400
316,0,558,2400
316,0,558,2401
316,0,557,2401
316,0,558,2401
316,0,557,2402
316,0,558,2402
316,0,558,2402
316,0,557,2403
316,0,558,2403
316,0,558,2403
316,0,558,2404
316,0,557,2404
316,0,557,2404
316,0,558,2405
316,0,558,2405
316,0,557,2405
316,0,557,2406
316,0,558,2406
316,0,557,2406
316,0,558,2407
316,0,557,2407
316,0,558,2407
316,0,558,2408
316,0,558,2408
316,0,557,2408
316,0,557,2409
316,0,557,2409
316,0,557,2409
316,0,557,2410
316,0,557,2410
316,0,558,2410
316,0,557,3605
316,0,557,3606
316,0,557,3606
316,0,558,3606
316,0,558,3607
316,0,557,3607
316,0,557,3607
316,0,557,3608
316,0,557,3608
316,0,557,3608
316,0,557,3609
316,0,557,3609
316,0,557,3609
316,0,557,3610
316,0,557,3610
316,0,558,3610
316,0,558,3611
316,0,558,3611
316,0,557,3611
316,0,557,3611
316,0,558,3612
316,0,558,3612
316,0,558,3612
316,0,557,3613
316,0,557,3613
316,0,557,3613
316,0,557,3614
316,0,558,3614
316,0,558,3614
316,0,558,3615
316,0,557,3615
316,0,557,3615
316,0,558,3616
316,0,558,3616
316,0,557,3616
316,0,557,3617
316,0,557,3617
316,0,558,3617
316,0,557,3618
316,0,557,3618
316,0,557,3618
316,0,557,3619
316,0,557,3619
316,0,557,3619
316,0,557,3620
316,0,557,3620
316,0,557,3620
316,0,557,3621
316,0,557,3621
316,0,557,3621
316,0,557,3622
316,0,558,3622
316,0,557,3622
316,0,557,3623
316,0,558,3623
316,0,558,3623
316,0,557,3624
316,0,558,3624
316,0,557,3624
316,0,557,3625
316,0,557,3625
316,0,557,3625
316,0,557,3627
316,0,557,3627
316,0,557,3627
316,0,557,3628
316,0,557,3628
316,0,557,3628
316,0,557,3629
316,0,557,3629
316,0,557,4824
316,0,557,4824
316,0,557,4825
316,0,557,4825
316,0,557,4825
316,0,557,4826
316,0,557,4826
316,0,557,4826
316,0,557,4827
316,0,556,4827
316,0,556,4827
316,0,557,4828
316,0,557,4828
316,0,557,4828
316,0,557,4829
316,0,557,4829
316,0,557,4829
316,0,557,4830
316,0,557,4830
316,0,557,4830
316,0,557,4831
316,0,557,4831
316,0,558,4831
316,0,557,4832
316,0,557,4832
316,0,558,4832
316,0,557,4833
316,0,557,4833
316,0,557,4833
316,0,557,4834
316,0,557,4834
316,0,556,4834
316,0,557,4835
316,0,557,4835
316,0,557,4835
316,0,557,4836
316,0,557,4836
316,0,557,4836
316,0,557,4836
316,0,557,4837
316,0,557,4837
316,0,557,4837
316,0,557,4838
316,0,556,4838
316,0,557,4838
316,0,557,4839
316,0,557,4839
316,0,557,4839
316,0,558,4840
316,0,557,4840
316,0,557,4840
316,0,557,4841
316,0,558,4841
316,0,557,4841
316,0,557,4842
316,0,557,4842
316,0,557,4842
316,0,557,4843
316,0,557,4843
316,0,557,4843
316,0,557,4844
316,0,557,4844
316,0,557,4844
316,0,557,4845
316,0,556,4845
316,0,557,4845
316,0,557,4846
316,0,557,4846
316,0,557,4846
316,0,557,4847
316,0,557,6042
316,0,557,6042
316,0,557,6042
316,0,557,6043
316,0,557,6043
316,0,557,6043
316,0,557,6044
316,0,557,6044
316,0,557,6044
316,0,557,6045
316,0,557,6045
316,0,557,6045
316,0,557,6046
316,0,557,6046
316,0,557,6046
316,0,557,6047
316,0,557,6047
316,0,557,6047
316,0,558,6048
316,0,557,6048
316,0,557,6048
316,0,556,6049
316,0,557,6049
316,0,557,6049
316,0,557,6050
316,0,557,6050
316,0,557,6050
316,0,557,6051
316,0,558,6051
316,0,557,6051
316,0,557,6052
