voltage,current,airspeed,ms
329,0,558,82
329,0,558,82
329,0,558,83
329,0,558,83
329,0,558,83
329,0,559,84
329,0,558,84
329,0,558,84
329,0,558,86
329,0,558,86
329,0,558,86
329,0,558,87
329,0,558,87
329,0,559,87
329,0,558,88
329,0,558,88
329,0,558,88
329,0,558,89
329,0,558,89
329,0,558,89
329,0,558,90
329,0,558,90
329,0,558,90
329,0,558,91
329,0,558,91
329,0,558,91
329,0,558,92
329,0,558,92
329,0,558,92
329,0,558,93
329,0,558,93
329,0,558,93
329,0,558,93
329,0,558,94
329,0,558,94
329,0,558,94
329,0,558,95
329,0,558,95
329,0,559,95
329,0,558,96
329,0,558,96
329,0,558,96
329,0,558,97
329,0,558,97
329,0,558,97
329,0,558,98
329,0,558,98
329,0,558,98
329,0,558,99
329,0,558,99
329,0,558,99
329,0,558,100
329,0,558,100
329,0,558,100
329,0,558,101
329,0,558,101
329,0,558,101
329,0,558,102
329,0,558,102
329,0,558,102
329,0,559,103
329,0,558,103
329,0,558,103
329,0,558,104
329,0,558,104
329,0,558,104
329,0,558,105
329,0,558,105
329,0,558,105
329,0,558,106
329,0,560,1170
329,0,560,1171
329,0,560,1171
329,0,560,1171
329,0,560,1172
329,0,560,1172
329,0,559,1172
329,0,558,1173
329,0,558,1173
329,0,559,1173
329,0,559,1174
329,0,559,1174
329,0,558,1174
329,0,558,1175
329,0,559,1175
329,0,559,1175
329,0,559,1175
329,0,559,1176
329,0,560,1176
329,0,560,1176
329,0,560,1177
329,0,559,1177
329,0,559,1177
329,0,558,1178
329,0,558,1178
329,0,558,1178
329,0,558,1179
329,0,558,1179
329,0,558,1179
329,0,559,1180
329,0,558,1180
329,0,558,1180
329,0,558,1181
329,0,558,1181
329,0,558,1181
329,0,558,1182
329,0,559,1182
329,0,559,1182
329,0,558,1183
329,0,558,1183
329,0,558,1183
329,0,558,1184
329,0,558,1184
329,0,558,1184
329,0,558,1185
329,0,558,1185
329,0,558,1185
329,0,558,1186
329,0,558,1186
329,0,558,1186
329,0,559,1187
329,0,558,1187
329,0,558,1187
329,0,558,1188
329,0,558,1188
329,0,558,1188
329,0,558,1189
329,0,558,1189
329,0,558,1189
329,0,558,1190
329,0,558,1190
329,0,558,1190
329,0,558,1191
329,0,558,1191
329,0,558,1191
329,0,557,1192
329,0,557,1192
329,0,557,1192
329,0,557,1193
329,0,558,1193
329,0,558,2388
329,0,557,2388
329,0,558,2390
329,0,558,2390
329,0,558,2390
329,0,557,2391
329,0,557,2391
329,0,557,2391
329,0,558,2392
329,0,557,2392
329,0,558,2392
329,0,558,2393
329,0,558,2393
329,0,557,2393
329,0,557,2394
329,0,557,2394
329,0,557,2394
329,0,557,2395
329,0,557,2395
329,0,557,2395
329,0,558,2396
329,0,557,2396
329,0,558,2396
329,0,558,2397
329,0,557,2397
329,0,558,2397
329,0,557,2398
329,0,558,2398
329,0,557,2398
329,0,558,2399
329,0,557,2399
329,0,557,2399
329,0,557,2400
329,0,557,2400
329,0,557,2400
329,0,558,2401
329,0,557,2401
329,0,558,2401
329,0,557,2401
329,0,557,2402
329,0,557,2402
329,0,557,2402
329,0,557,2403
329,0,557,2403
329,0,557,2403
329,0,557,2404
329,0,557,2404
329,0,557,2404
329,0,557,2405
329,0,558,2405
329,0,557,2405
329,0,557,2406
329,0,557,2406
329,0,557,2406
329,0,557,2407
329,0,557,2407
329,0,557,2407
329,0,557,2408
329,0,557,2408
329,0,556,2408
329,0,557,2409
329,0,557,2409
329,0,557,2409
329,0,557,2410
329,0,557,2410
329,0,557,2410
329,0,557,2411
329,0,557,2411
329,0,557,2411
329,0,556,2412
329,0,557,3607
329,0,557,3607
329,0,557,3607
329,0,557,3608
329,0,557,3608
329,0,557,3608
329,0,557,3609
329,0,557,3609
329,0,557,3609
329,0,557,3610
329,0,557,3610
329,0,557,3610
329,0,557,3611
329,0,557,3611
329,0,557,3611
329,0,557,3612
329,0,557,3612
329,0,557,3612
329,0,557,3613
329,0,557,3613
329,0,556,3613
329,0,557,3614
329,0,557,3614
329,0,558,3614
329,0,558,3615
329,0,557,3615
329,0,557,3615
329,0,557,3616
329,0,558,3616
329,0,558,3616
329,0,557,3617
329,0,557,3617
329,0,557,3617
329,0,557,3618
329,0,557,3618
329,0,557,3618
329,0,557,3619
329,0,557,3619
329,0,557,3619
329,0,557,3620
329,0,557,3620
329,0,557,3620
329,0,558,3621
329,0,558,3621
329,0,557,3621
329,0,557,3622
329,0,557,3622
329,0,557,3622
329,0,557,3623
329,0,558,3623
329,0,557,3623
329,0,557,3623
329,0,557,3624
329,0,557,3624
329,0,557,3624
329,0,557,3625
329,0,557,3625
329,0,557,3625
329,0,557,3627
329,0,557,3627
329,0,557,3627
329,0,558,3628
329,0,557,3628
329,0,558,3628
329,0,557,3629
329,0,557,3629
329,0,557,3629
329,0,558,3630
329,0,557,3630
329,0,557,3630
329,0,557,4826
329,0,557,4826
329,0,557,4826
329,0,557,4826
329,0,557,4827
329,0,557,4827
329,0,557,4827
329,0,557,4828
329,0,556,4828
329,0,557,4828
329,0,557,4829
329,0,557,4829
329,0,557,4829
329,0,557,4830
329,0,557,4830
329,0,556,4830
329,0,557,4831
329,0,557,4831
329,0,557,4831
329,0,557,4832
329,0,557,4832
329,0,556,4832
329,0,557,4833
329,0,556,4833
329,0,557,4833
329,0,556,4834
329,0,557,4834
329,0,557,4834
329,0,556,4835
329,0,557,4835
329,0,557,4835
329,0,557,4836
329,0,557,4836
329,0,557,4836
329,0,557,4837
329,0,557,4837
328,0,557,4837
329,0,557,4838
329,0,557,4838
329,0,557,4838
329,0,557,4839
329,0,556,4839
329,0,557,4839
329,0,557,4840
329,0,557,4840
329,0,557,4840
329,0,556,4841
329,0,556,4841
329,0,557,4841
329,0,557,4842
329,0,557,4842
329,0,556,4842
329,0,556,4843
329,0,557,4843
329,0,557,4843
329,0,556,4844
329,0,557,4844
329,0,557,4844
329,0,557,4845
329,0,557,4845
329,0,557,4845
329,0,557,4846
329,0,557,4846
329,0,557,4846
329,0,557,4847
329,0,557,4847
329,0,558,4847
329,0,557,4847
329,0,557,4848
329,0,557,4848
329,0,557,6043
329,0,557,6044
329,0,557,6044
329,0,557,6044
329,0,557,6045
329,0,557,6045
329,0,557,6045
329,0,557,6046
329,0,558,6046
329,0,557,6046
329,0,557,6047
329,0,557,6047
329,0,557,6047
329,0,557,6048
329,0,556,6048
329,0,556,6048
329,0,557,6049
329,0,557,6049
329,0,557,6049
329,0,556,6050
329,0,557,6050
329,0,557,6050
329,0,556,6050
329,0,556,6051
329,0,556,6051
329,0,556,6051
329,0,557,6052
329,0,557,6052
329,0,557,6052
329,0,557,6053
329,0,557,6053
329,0,557,6053
329,0,557,6054
329,0,557,6054
329,0,557,6054
329,0,557,6055
329,0,557,6055
329,0,557,6055
329,0,556,6056
329,0,557,6056
329,0,557,6056
329,0,557,6057
329,0,557,6057
329,0,557,6057
329,0,557,6059
329,0,557,6059
329,0,557,6059
329,0,557,6060
329,0,557,6060
329,0,556,6060
329,0,557,6061
329,0,557,6061
329,0,557,6061
329,0,558,6062
329,0,557,6062
329,0,557,6062
329,0,557,6063
329,0,557,6063
329,0,557,6063
329,0,556,6064
329,0,556,6064
329,0,556,6064
329,0,556,6065
329,0,557,6065
329,0,557,6065
329,0,557,6066
329,0,557,6066
329,0,557,6066
329,0,557,6067
329,0,557,6067
329,0,556,7262
329,0,557,7262
329,0,557,7263
329,0,556,7263
329,0,556,7263
329,0,556,7264
329,0,557,7264
329,0,557,7264
329,0,557,7265
329,0,557,7265
329,0,557,7265
329,0,556,7266
329,0,556,7266
329,0,557,7266
329,0,557,7267
329,0,557,7267
329,0,557,7267
329,0,557,7268
329,0,557,7268
