voltage,current,airspeed,ms
326,0,561,78
326,0,560,78
326,0,559,78
326,0,559,79
326,0,559,79
326,0,559,79
326,0,559,80
326,0,559,80
326,0,560,80
326,0,559,81
326,0,560,81
326,0,559,81
326,0,560,82
326,0,560,82
326,0,561,82
326,0,561,83
326,0,559,83
326,0,560,83
326,0,561,84
326,0,560,84
326,0,559,84
326,0,559,86
326,0,559,86
326,0,560,86
326,0,560,87
326,0,560,87
326,0,560,87
326,0,561,88
326,0,561,88
326,0,561,88
326,0,560,89
326,0,560,89
326,0,559,89
326,0,558,90
326,0,559,90
326,0,560,90
326,0,560,91
326,0,559,91
326,0,560,91
326,0,560,92
326,0,560,92
326,0,559,92
326,0,559,93
326,0,559,93
326,0,559,93
326,0,558,94
326,0,558,94
326,0,559,94
326,0,559,94
326,0,559,95
326,0,559,95
326,0,560,95
326,0,558,96
326,0,558,96
326,0,558,96
326,0,558,97
326,0,557,97
326,0,555,97
326,0,555,98
326,0,556,98
326,0,556,98
326,0,557,99
326,0,556,99
326,0,556,99
326,0,556,100
326,0,556,100
326,0,558,100
326,0,558,101
326,0,558,101
326,0,557,101
326,0,559,1149
326,0,559,1149
326,0,559,1149
326,0,560,1150
326,0,559,1150
326,0,559,1150
326,0,559,1152
326,0,559,1152
326,0,559,1152
326,0,559,1153
326,0,559,1153
326,0,559,1153
326,0,559,1153
326,0,559,1154
326,0,559,1154
326,0,559,1154
326,0,559,1155
326,0,558,1155
326,0,559,1155
326,0,558,1156
326,0,559,1156
326,0,559,1156
326,0,559,1157
326,0,559,1157
326,0,558,1157
326,0,559,1158
326,0,558,1158
326,0,558,1158
326,0,558,1159
326,0,558,1159
326,0,558,1159
326,0,558,1160
326,0,557,1160
326,0,558,1160
326,0,558,1161
326,0,558,1161
326,0,558,1161
326,0,558,1162
326,0,558,1162
326,0,558,1162
326,0,557,1163
326,0,557,1163
326,0,558,1163
326,0,558,1164
326,0,559,1164
326,0,558,1164
326,0,558,1165
326,0,559,1165
326,0,559,1165
326,0,559,1166
326,0,559,1166
326,0,559,1166
326,0,559,1167
326,0,559,1167
326,0,559,1167
326,0,558,1168
326,0,558,1168
326,0,558,1168
326,0,558,1169
326,0,558,1169
326,0,559,1169
326,0,558,1170
326,0,558,1170
326,0,559,1170
326,0,558,1171
326,0,558,1171
326,0,559,1171
326,0,559,1172
326,0,559,1172
326,0,558,1172
326,0,559,2371
326,0,559,2371
326,0,559,2372
326,0,559,2372
326,0,560,2372
326,0,560,2373
326,0,560,2373
326,0,560,2373
326,0,560,2374
326,0,559,2374
326,0,560,2374
326,0,560,2375
326,0,559,2375
326,0,560,2375
326,0,559,2375
326,0,558,2376
326,0,559,2376
326,0,559,2376
326,0,559,2377
326,0,559,2377
326,0,559,2377
326,0,559,2378
326,0,559,2378
326,0,558,2378
326,0,558,2379
326,0,557,2379
326,0,556,2379
326,0,556,2380
326,0,556,2380
326,0,557,2380
326,0,556,2381
326,0,556,2381
326,0,558,2381
326,0,558,2382
326,0,558,2382
326,0,558,2382
326,0,559,2383
326,0,558,2383
326,0,558,2383
326,0,558,2384
326,0,558,2384
326,0,558,2384
326,0,559,2385
326,0,560,2385
326,0,561,2385
326,0,560,2386
326,0,559,2386
326,0,558,2386
326,0,557,2387
326,0,557,2387
326,0,557,2387
326,0,557,2388
326,0,557,2388
326,0,558,2388
326,0,558,2390
326,0,558,2390
326,0,558,2390
326,0,559,2391
326,0,559,2391
326,0,560,2391
326,0,560,2392
326,0,560,2392
326,0,560,2392
326,0,560,2393
326,0,559,2393
326,0,557,2393
