voltage,current,airspeed,throttle, ms
0,0,558,983,83
0,0,558,983,119
0,0,558,984,156
0,0,558,983,192
0,0,558,984,228
0,0,557,984,264
0,0,558,983,300
0,0,558,984,335
0,0,558,983,372
0,0,558,983,408
0,0,557,983,444
0,0,558,983,480
0,0,558,984,516
0,0,557,984,551
0,0,558,984,588
0,0,558,984,624
0,0,558,983,660
0,0,558,983,696
0,0,557,984,732
0,0,557,984,768
0,0,557,984,804
0,0,557,984,840
0,0,557,984,876
0,0,557,983,912
0,0,557,983,948
0,0,558,984,984
0,0,557,984,1020
0,0,558,984,1056
0,0,557,984,1092
0,0,558,983,1128
0,0,557,984,1164
0,0,558,984,1200
0,0,558,983,1236
0,0,557,984,1272
0,0,557,984,1308
0,0,557,984,1344
0,0,557,983,1380
0,0,557,984,1416
0,0,557,983,1453
0,0,557,983,1488
0,0,557,984,1524
0,0,557,983,1560
0,0,557,983,1596
0,0,557,983,1632
0,0,557,984,1669
0,0,557,984,1704
0,0,557,984,1740
0,0,557,983,1776
0,0,557,983,1812
0,0,558,984,1848
0,0,557,983,1885
0,0,557,983,1921
0,0,557,984,1956
0,0,557,984,1992
0,0,557,983,2028
0,0,557,983,2064
0,0,557,983,2101
0,0,557,983,2137
0,0,557,983,2172
0,0,557,983,2208
0,0,557,984,2244
0,0,557,983,2280
0,0,558,983,2317
0,0,557,983,2353
0,0,557,984,2388
0,0,557,984,2424
0,0,557,984,2460
0,0,557,983,2496
0,0,557,983,2533
0,0,557,983,2569
0,0,556,983,2605
0,0,557,984,2640
0,0,557,983,2676
0,0,557,984,2712
0,0,557,984,2749
0,0,557,984,2785
0,0,557,983,2821
0,0,557,983,2856
0,0,557,983,2892
0,0,557,983,2928
0,0,557,983,2965
0,0,557,984,3001
0,0,557,984,3037
0,0,557,983,3073
0,0,556,983,3108
0,0,557,983,3144
0,0,557,983,3181
0,0,557,983,3217
0,0,557,987,3253
0,0,557,984,3289
0,0,557,984,3324
0,0,557,984,3360
0,0,557,984,3396
0,0,557,984,3433
0,0,557,989,3469
0,0,557,984,3505
0,0,557,983,3540
0,0,557,984,3576
0,0,557,984,3612
0,0,557,983,3649
0,0,557,989,3685
0,0,557,983,3721
0,0,557,984,3757
0,0,557,984,3792
0,0,557,984,3828
0,0,556,983,3865
0,0,557,989,3901
0,0,556,983,3937
0,0,557,983,3973
0,0,557,984,4008
0,0,556,984,4044
0,0,557,983,4081
0,0,557,983,4117
0,0,556,984,4153
0,0,557,984,4189
0,0,556,983,4225
0,0,557,983,4260
0,0,556,983,4297
0,0,556,983,4333
0,0,557,983,4369
0,0,557,984,4405
0,0,557,984,4441
0,0,557,984,4476
0,0,556,984,4513
0,0,557,984,4549
0,0,557,984,4585
0,0,557,983,4621
0,0,556,984,4657
0,0,557,984,4692
0,0,556,983,4729
0,0,557,983,4765
0,0,556,983,4801
0,0,557,983,4837
0,0,557,983,4873
0,0,556,984,4909
0,0,557,984,4945
0,0,557,983,4981
0,0,557,983,5017
0,0,557,983,5053
0,0,557,983,5089
0,0,557,984,5125
0,0,556,983,5161
0,0,557,983,5197
0,0,556,983,5233
0,0,556,984,5269
0,0,556,984,5305
0,0,556,984,5341
0,0,557,984,5378
0,0,557,983,5413
0,0,556,984,5449
0,0,557,984,5485
0,0,557,983,5521
0,0,558,984,5557
0,0,557,983,5594
0,0,557,983,5629
0,0,556,984,5665
0,0,557,984,5701
0,0,557,983,5737
0,0,556,984,5773
0,0,556,983,5810
0,0,556,984,5846
329,2,557,983,5881
329,0,556,984,5917
329,0,557,983,5953
329,0,557,984,5989
329,0,557,984,6026
329,0,557,983,6062
329,0,557,983,6097
329,0,556,983,6133
329,0,557,983,6169
329,0,557,984,6205
329,0,556,984,6242
329,0,557,984,6278
329,0,556,983,6313
329,0,557,984,6349
329,0,557,983,6385
329,0,557,983,6421
329,0,556,984,6458
329,0,556,984,6494
329,0,556,983,6530
329,0,556,983,6565
329,0,556,983,6601
329,0,557,983,6637
329,0,557,983,6674
328,0,556,984,6710
321,0,557,983,6746
315,0,556,984,6781
308,0,556,983,6817
302,0,556,983,6853
296,0,556,983,6890
329,3,556,984,6926
329,0,556,988,6962
329,0,556,983,6998
329,0,557,983,7033
329,0,556,983,7069
329,0,557,983,7105
329,0,557,983,7142
329,0,556,990,7178
329,0,557,983,7214
329,0,556,984,7249
329,0,556,983,7285
329,0,556,984,7321
329,0,556,984,7358
329,0,556,990,7394
329,0,556,984,7430
329,0,557,983,7465
329,0,557,983,7501
305,0,556,983,7537
261,4,556,109,7573
329,0,557,990,7610
329,0,556,983,7646
329,0,556,983,7682
329,0,557,984,7717
329,0,557,983,7753
329,0,556,984,7790
329,0,556,983,7826
329,0,556,984,7862
329,0,556,983,7898
329,0,556,983,7933
329,0,556,983,7969
329,0,556,984,8006
329,0,557,983,8042
329,0,556,984,8078
329,0,556,984,8114
329,0,556,983,8150
329,0,557,983,8185
329,0,557,984,8222
329,0,557,983,8258
329,0,556,984,8294
329,0,557,984,8330
329,0,556,983,8366
329,0,557,984,8401
329,0,556,984,8438
329,0,557,984,8474
329,0,557,984,8510
329,0,556,984,8546
329,0,556,984,8582
329,0,556,984,8617
329,0,556,984,8654
329,0,556,984,8690
329,0,556,983,8726
329,0,556,983,8762
329,0,556,984,8798
329,0,556,983,8834
329,0,556,983,8870
329,0,556,984,8906
329,0,556,983,8942
329,0,556,984,8978
329,0,556,983,9014
329,0,557,984,9050
329,0,556,983,9086
329,0,556,984,9122
329,0,556,983,9158
329,0,555,983,9194
329,0,556,983,9230
329,0,556,983,9266
329,0,556,983,9303
329,0,556,983,9338
329,0,556,983,9374
329,0,557,984,9410
329,0,556,984,9446
329,0,556,984,9482
329,0,557,984,9519
329,0,557,983,9554
329,0,556,983,9590
329,0,556,983,9626
329,0,556,983,9662
329,0,557,983,9698
329,0,556,984,9735
329,0,556,983,9771
329,0,556,983,9806
329,0,557,984,9842
329,0,555,984,9878
329,0,556,984,9914
329,0,556,984,9951
329,0,556,983,9987
329,0,556,983,10022
329,0,556,983,10058
329,0,556,983,10094
329,0,556,983,10130
329,0,556,984,10167
329,0,556,984,10203
329,0,556,983,10238
329,0,556,984,10274
329,0,556,983,10310
329,0,556,983,10346
329,0,556,983,10382
329,0,556,984,10419
329,0,556,989,10455
329,0,556,984,10490
329,0,556,983,10526
329,0,556,984,10562
329,0,556,983,10598
329,0,556,983,10635
329,0,556,989,10671
329,0,556,983,10706
329,0,556,984,10742
329,0,556,983,10778
329,0,555,983,10814
329,0,556,983,10851
329,0,556,990,10887
329,0,556,983,10923
329,0,556,984,10958
329,0,556,983,10994
329,0,556,983,11030
329,0,556,983,11067
329,0,555,983,11103
329,0,556,983,11139
329,0,556,984,11174
329,0,556,983,11210
329,0,556,984,11246
329,0,556,983,11283
329,0,556,983,11319
329,0,556,984,11355
329,0,556,983,11390
329,0,556,984,11426
329,0,556,984,11462
329,0,556,984,11499
329,0,556,983,11535
329,0,556,984,11571
329,0,556,984,11607
329,0,556,984,11642
329,0,556,984,11678
