yaw,pitch,roll,voltage,temperature,time
-0.83,0.11,0.15,3.88,72.56,0
-0.83,0.11,0.15,2.97,72.38,49
-0.83,0.11,0.15,2.61,72.38,79
-0.83,0.11,0.15,2.48,72.38,113
-0.83,0.11,0.15,2.42,72.38,145
-0.83,0.11,0.15,2.39,72.38,178
-0.83,0.11,0.15,2.36,72.38,212
-0.83,0.11,0.16,2.37,72.38,244
-0.83,0.11,0.15,2.37,72.38,278
-0.84,0.11,0.16,2.37,72.38,313
-0.84,0.11,0.16,2.38,72.38,344
-0.84,0.11,0.16,2.37,72.38,377
-0.84,0.11,0.16,2.37,72.38,412
-0.84,0.11,0.16,2.38,72.38,444
-0.84,0.11,0.16,2.36,72.38,478
-0.83,0.11,0.16,2.38,72.38,515
-0.84,0.11,0.16,2.38,72.38,547
-0.84,0.11,0.16,2.39,72.38,579
-0.84,0.11,0.16,2.38,72.38,634
-0.84,0.11,0.16,2.38,72.38,669
-0.84,0.11,0.16,2.38,72.38,703
-0.84,0.11,0.16,2.38,72.38,735
-0.84,0.11,0.16,2.37,72.38,765
-0.84,0.11,0.15,2.38,72.38,797
-0.84,0.11,0.15,2.38,72.38,829
-0.84,0.11,0.15,2.38,72.38,861
-0.84,0.11,0.15,2.38,72.38,893
-0.84,0.11,0.15,2.38,72.38,925
-0.84,0.11,0.15,2.38,72.38,957
-0.84,0.11,0.15,2.37,72.38,989
-0.84,0.11,0.17,2.37,72.38,1020
-0.83,0.10,0.17,2.37,72.38,1057
-0.83,0.11,0.15,2.37,72.38,1089
-0.84,0.11,0.13,2.38,72.38,1121
-0.85,0.11,0.11,2.37,72.38,1152
-0.87,0.11,0.13,2.38,72.38,1185
-0.86,0.11,0.15,2.37,72.38,1217
-0.83,0.11,0.16,2.39,72.38,1251
-0.81,0.11,0.15,2.38,72.38,1285
-0.83,0.11,0.15,2.38,72.56,1319
-0.86,0.11,0.15,2.38,72.38,1354
-0.87,0.11,0.13,2.38,72.38,1388
-0.85,0.11,0.13,2.38,72.38,1422
-0.83,0.11,0.14,2.38,72.38,1458
-0.83,0.11,0.15,2.38,72.56,1490
-0.84,0.11,0.15,2.37,72.38,1526
-0.85,0.11,0.14,2.37,72.38,1559
-0.85,0.11,0.13,2.39,72.38,1598
-0.85,0.11,0.13,2.38,72.38,1630
-0.85,0.11,0.14,2.39,72.38,1662
-0.83,0.11,0.15,2.38,72.38,1697
-0.84,0.11,0.13,2.37,72.38,1731
-0.86,0.11,0.10,2.37,72.38,1767
-0.87,0.11,0.13,2.37,72.38,1800
-0.85,0.10,0.16,2.37,72.38,1835
-0.83,0.11,0.15,2.38,72.38,1868
-0.82,0.11,0.13,2.38,72.38,1902
-0.85,0.12,0.13,2.38,72.38,1938
-0.88,0.12,0.15,2.37,72.38,1971
-0.88,0.11,0.15,2.38,72.38,2006
-0.84,0.09,0.17,2.38,72.38,2039
-0.81,0.09,0.16,2.38,72.38,2074
-0.83,0.10,0.15,2.38,72.38,2113
-0.87,0.09,0.15,2.39,72.38,2147
-0.88,0.10,0.14,2.38,72.38,2178
-0.87,0.11,0.12,2.38,72.38,2211
-0.84,0.11,0.13,2.38,72.38,2247
-0.83,0.11,0.15,2.38,72.38,2280
-0.84,0.11,0.16,2.37,72.38,2315
-0.85,0.10,0.14,2.37,72.56,2349
-0.86,0.10,0.13,2.38,72.38,2383
-0.86,0.09,0.13,2.38,72.38,2418
-0.86,0.10,0.13,2.38,72.38,2452
-0.85,0.11,0.15,2.38,72.38,2487
-0.84,0.11,0.17,2.37,72.38,2520
-0.83,0.09,0.20,2.38,72.38,2554
-0.84,0.09,0.15,2.37,72.38,2590
-0.85,0.09,0.13,2.37,72.38,2623
-0.87,0.11,0.10,2.38,72.38,2662
-0.87,0.11,0.09,2.37,72.38,2695
-0.86,0.13,0.15,2.39,72.38,2727
-0.84,0.13,0.17,2.39,72.38,2760
-0.82,0.12,0.15,2.38,72.38,2795
-0.84,0.11,0.14,2.38,72.38,2830
-0.87,0.09,0.14,2.38,72.56,2863
-0.87,0.09,0.15,2.37,72.38,2899
-0.85,0.11,0.14,2.38,72.56,2932
-0.83,0.11,0.14,2.38,72.56,2968
-0.83,0.13,0.15,2.38,72.38,3001
-0.85,0.13,0.15,2.38,72.38,3034
-0.86,0.11,0.14,2.38,72.56,3070
-0.86,0.11,0.13,2.38,72.38,3103
-0.85,0.11,0.13,2.37,72.38,3139
-0.85,0.11,0.15,2.38,72.38,3176
-0.85,0.11,0.15,2.38,72.38,3209
-0.85,0.13,0.14,2.39,72.38,3262
-0.86,0.12,0.14,2.37,72.38,3299
-0.86,0.11,0.14,2.37,72.38,3330
-0.85,0.10,0.15,2.38,72.38,3362
-0.85,0.10,0.15,2.37,72.38,3394
-0.84,0.10,0.15,2.38,72.38,3426
-0.85,0.10,0.14,2.36,72.38,3459
-0.86,0.11,0.14,2.37,72.38,3491
-0.87,0.11,0.14,2.38,72.38,3523
-0.86,0.12,0.14,2.38,72.38,3555
-0.85,0.11,0.14,2.38,72.38,3586
-0.85,0.10,0.15,2.37,72.38,3619
-0.85,0.10,0.15,2.38,72.56,3653
-0.85,0.09,0.15,2.38,72.56,3687
-0.86,0.10,0.14,2.37,72.38,3726
-0.87,0.11,0.14,2.39,72.38,3759
-0.86,0.11,0.15,2.38,72.38,3791
-0.85,0.11,0.15,2.38,72.38,3824
-0.85,0.10,0.15,2.38,72.38,3860
-0.86,0.09,0.15,2.38,72.38,3893
-0.86,0.09,0.15,2.37,72.38,3927
-0.86,0.09,0.15,2.37,72.38,3962
-0.86,0.10,0.15,2.37,72.38,3996
-0.85,0.10,0.15,2.37,72.38,4032
-0.85,0.11,0.15,2.38,72.38,4065
-0.86,0.11,0.15,2.36,72.38,4100
-0.86,0.10,0.15,2.39,72.38,4133
-0.86,0.09,0.15,2.38,72.38,4167
-0.86,0.09,0.15,2.38,72.56,4203
-0.86,0.09,0.15,2.37,72.56,4241
-0.86,0.09,0.15,2.38,72.38,4273
-0.87,0.10,0.15,2.37,72.38,4304
-0.87,0.11,0.15,2.37,72.38,4340
-0.87,0.10,0.14,2.38,72.38,4374
-0.87,0.09,0.15,2.38,72.56,4408
-0.86,0.09,0.15,2.36,72.38,4444
-0.86,0.09,0.15,2.38,72.38,4476
-0.86,0.09,0.15,2.38,72.38,4512
-0.87,0.10,0.15,2.39,72.38,4545
-0.87,0.10,0.15,2.38,72.38,4581
-0.86,0.10,0.15,2.39,72.38,4613
-0.85,0.10,0.15,2.38,72.38,4648
-0.86,0.09,0.15,2.38,72.38,4683
-0.86,0.09,0.15,2.38,72.38,4717
-0.86,0.09,0.15,2.38,72.38,4753
-0.86,0.09,0.15,2.38,72.38,4789
-0.86,0.09,0.15,2.38,72.38,4822
-0.86,0.10,0.15,2.38,72.38,4854
-0.85,0.10,0.15,2.38,72.56,4888
-0.85,0.10,0.15,2.38,72.38,4924
-0.85,0.09,0.15,2.38,72.38,4957
-0.86,0.09,0.15,2.37,72.38,4992
-0.86,0.09,0.15,2.38,72.38,5025
-0.86,0.10,0.15,2.38,72.38,5060
-0.86,0.10,0.15,2.38,72.38,5095
-0.86,0.11,0.15,2.38,72.38,5129
-0.86,0.10,0.15,2.38,72.38,5163
-0.86,0.10,0.15,2.37,72.38,5197
-0.87,0.09,0.14,2.38,72.38,5233
-0.87,0.09,0.14,2.39,72.38,5266
-0.87,0.09,0.15,2.38,72.38,5305
-0.86,0.10,0.15,2.38,72.56,5336
-0.86,0.10,0.15,2.38,72.38,5368
-0.87,0.11,0.15,2.38,72.38,5404
-0.87,0.11,0.14,2.38,72.56,5438
-0.87,0.11,0.13,2.38,72.38,5473
-0.87,0.11,0.13,2.36,72.38,5506
-0.87,0.11,0.13,2.39,72.38,5540
-0.86,0.11,0.14,2.38,72.38,5576
-0.87,0.11,0.14,2.37,72.38,5609
-0.87,0.11,0.14,2.37,72.38,5645
-0.87,0.11,0.13,2.38,72.38,5677
