yaw,pitch,roll,voltage,temperature,time
-0.58,-1.97,1.25,3.38,74.36,0
-0.84,-2.05,1.11,2.94,74.18,53
-1.06,-2.21,1.13,2.64,74.18,89
-1.33,-2.42,1.13,2.59,74.18,126
-1.57,-2.54,1.02,2.45,74.18,163
-1.72,-2.54,0.96,2.50,74.18,198
-1.88,-2.47,0.97,2.41,74.18,234
-1.96,-2.45,0.96,2.47,74.18,272
-1.98,-2.52,0.91,2.40,74.18,307
-1.95,-2.69,0.87,2.47,74.18,344
-1.90,-2.83,0.89,2.39,74.18,380
-1.82,-2.95,0.94,2.46,74.36,417
-1.73,-2.97,0.93,2.39,74.18,453
-1.68,-2.95,0.92,2.46,74.18,489
-1.66,-2.93,0.86,2.39,74.18,529
-1.70,-2.92,0.81,2.46,74.18,566
-1.75,-2.88,0.77,2.38,74.18,603
-1.76,-2.81,0.72,2.46,74.18,638
-1.76,-2.70,0.65,2.39,74.18,675
-1.75,-2.64,0.62,2.46,74.18,710
-1.72,-2.59,0.61,2.39,74.18,747
-1.67,-2.50,0.58,2.46,74.18,784
-1.63,-2.41,0.55,2.38,74.18,820
-1.61,-2.29,0.54,2.45,74.18,856
-1.60,-2.19,0.52,2.38,74.18,893
-1.61,-2.15,0.49,2.46,74.18,929
-1.63,-2.12,0.44,2.39,74.18,965
-1.64,-2.11,0.42,2.46,74.18,1001
-1.62,-2.08,0.41,2.39,74.18,1038
-1.60,-2.02,0.39,2.46,74.18,1075
-1.58,-1.84,0.31,2.39,74.18,1192
-1.60,-1.75,0.23,2.47,74.18,1302
-1.59,-1.69,0.21,2.39,74.18,1344
-1.59,-1.65,0.20,2.46,74.18,1380
-1.59,-1.59,0.18,2.39,74.18,1416
-1.58,-1.57,0.16,2.46,74.18,1452
-1.58,-1.54,0.14,2.39,74.18,1489
-1.57,-1.52,0.13,2.46,74.18,1526
-1.57,-1.50,0.11,2.38,74.18,1561
-1.56,-1.46,0.10,2.47,74.18,1597
-1.55,-1.40,0.08,2.39,74.18,1634
-1.55,-1.36,0.07,2.46,74.18,1670
-1.56,-1.33,0.05,2.39,74.18,1707
-1.57,-1.31,0.03,2.46,74.36,1743
-1.57,-1.29,0.01,2.39,74.18,1778
-1.57,-1.27,-0.01,2.47,74.36,1840
-1.57,-1.25,-0.02,2.38,74.18,1877
-1.56,-1.22,-0.03,2.46,74.18,1913
-1.55,-1.18,-0.04,2.39,74.18,1949
-1.53,-1.15,-0.05,2.47,74.18,1986
-1.53,-1.13,-0.06,2.39,74.18,2022
-1.53,-1.11,-0.07,2.47,74.18,2059
-1.53,-1.10,-0.08,2.39,74.18,2096
-1.53,-1.09,-0.10,2.46,74.18,2132
-1.53,-1.06,-0.11,2.39,74.18,2168
-1.53,-1.04,-0.13,2.47,74.18,2203
-1.53,-1.01,-0.14,2.39,74.36,2240
-1.53,-0.98,-0.15,2.46,74.18,2277
-1.53,-0.97,-0.15,2.39,74.18,2313
-1.53,-0.96,-0.16,2.46,74.18,2350
-1.52,-0.95,-0.17,2.39,74.36,2390
-1.51,-0.93,-0.17,2.47,74.18,2427
-1.51,-0.90,-0.18,2.38,74.18,2462
-1.50,-0.88,-0.18,2.47,74.18,2499
-1.50,-0.87,-0.19,2.39,74.18,2536
-1.50,-0.86,-0.20,2.46,74.18,2572
-1.50,-0.86,-0.21,2.39,74.18,2609
-1.50,-0.84,-0.22,2.47,74.18,2644
-1.50,-0.82,-0.23,2.39,74.18,2681
-1.51,-0.80,-0.24,2.46,74.18,2717
-1.51,-0.79,-0.25,2.39,74.18,2753
-1.51,-0.77,-0.26,2.46,74.18,2790
-1.50,-0.77,-0.26,2.39,74.18,2827
-1.49,-0.77,-0.27,2.47,74.18,2863
-1.48,-0.75,-0.27,2.40,74.18,2903
-1.48,-0.73,-0.28,2.46,74.18,2940
-1.47,-0.72,-0.28,2.39,74.18,2977
-1.47,-0.70,-0.28,2.46,74.18,3012
-1.47,-0.69,-0.30,2.39,74.18,3049
-1.47,-0.68,-0.31,2.46,74.18,3085
-1.48,-0.68,-0.31,2.39,74.18,3122
-1.48,-0.67,-0.32,2.46,74.18,3159
-1.48,-0.66,-0.32,2.39,74.36,3194
-1.47,-0.65,-0.33,2.46,74.18,3230
-1.47,-0.63,-0.33,2.39,74.18,3267
-1.46,-0.63,-0.33,2.46,74.18,3303
-1.46,-0.62,-0.33,2.39,74.18,3340
-1.46,-0.61,-0.33,2.46,74.18,3376
-1.45,-0.59,-0.33,2.39,74.18,3413
-1.44,-0.58,-0.34,2.47,74.18,3453
-1.44,-0.58,-0.35,2.39,74.18,3490
-1.44,-0.58,-0.35,2.46,74.36,3525
-1.44,-0.57,-0.36,2.39,74.36,3562
-1.44,-0.56,-0.36,2.46,74.18,3599
-1.44,-0.56,-0.37,2.39,74.18,3635
-1.44,-0.54,-0.37,2.46,74.36,3672
-1.44,-0.54,-0.38,2.39,74.18,3709
-1.44,-0.54,-0.38,2.46,74.18,3745
-1.44,-0.53,-0.38,2.39,74.18,3781
-1.43,-0.53,-0.38,2.46,74.18,3816
-1.42,-0.52,-0.38,2.38,74.18,3853
-1.41,-0.52,-0.38,2.46,74.18,3890
-1.41,-0.51,-0.38,2.39,74.18,3926
-1.41,-0.50,-0.39,2.47,74.18,3967
-1.41,-0.49,-0.39,2.39,74.18,4004
-1.41,-0.49,-0.40,2.47,74.18,4040
-1.41,-0.48,-0.40,2.38,74.18,4075
-1.41,-0.48,-0.41,2.46,74.18,4112
-1.41,-0.47,-0.41,2.39,74.36,4170
-1.41,-0.47,-0.41,2.47,74.36,4211
-1.41,-0.47,-0.41,2.38,74.18,4247
-1.40,-0.47,-0.41,2.46,74.54,4283
-1.39,-0.46,-0.41,2.39,74.18,4321
-1.39,-0.45,-0.41,2.46,74.18,4356
-1.39,-0.45,-0.41,2.38,74.18,4393
-1.39,-0.44,-0.41,2.46,74.18,4431
-1.39,-0.45,-0.42,2.39,74.18,4465
-1.39,-0.44,-0.43,2.46,74.18,4502
-1.39,-0.44,-0.44,2.40,74.18,4543
-1.39,-0.43,-0.44,2.47,74.18,4580
-1.39,-0.43,-0.44,2.38,74.18,4616
-1.39,-0.43,-0.44,2.46,74.18,4653
-1.39,-0.43,-0.44,2.39,74.18,4689
-1.39,-0.43,-0.44,2.46,74.18,4726
-1.38,-0.43,-0.44,2.39,74.18,4762
-1.37,-0.43,-0.44,2.47,74.18,4798
-1.37,-0.42,-0.44,2.38,74.18,4834
-1.37,-0.42,-0.44,2.47,74.18,4872
-1.37,-0.42,-0.44,2.38,74.18,4907
-1.37,-0.42,-0.44,2.46,74.18,4944
-1.37,-0.42,-0.45,2.38,74.18,4982
-1.37,-0.41,-0.46,2.46,74.18,5016
-1.37,-0.40,-0.46,2.39,74.18,5053
-1.37,-0.40,-0.46,2.46,74.36,5094
-1.37,-0.40,-0.46,2.39,74.18,5131
-1.37,-0.40,-0.46,2.46,74.18,5167
-1.36,-0.40,-0.46,2.39,74.18,5204
-1.35,-0.40,-0.46,2.46,74.18,5240
-1.34,-0.40,-0.46,2.39,74.18,5276
-1.34,-0.39,-0.46,2.46,74.18,5313
-1.34,-0.39,-0.46,2.39,74.18,5349
-1.34,-0.39,-0.46,2.46,74.36,5386
-1.34,-0.39,-0.46,2.39,74.18,5423
-1.34,-0.38,-0.46,2.46,74.18,5459
-1.34,-0.38,-0.46,2.39,74.18,5496
-1.34,-0.38,-0.46,2.46,74.18,5532
-1.34,-0.38,-0.47,2.39,74.18,5568
-1.34,-0.38,-0.46,2.47,74.18,5608
-1.33,-0.38,-0.46,2.38,74.18,5645
-1.32,-0.38,-0.46,2.46,74.18,5682
-1.32,-0.38,-0.47,2.38,74.18,5718
-1.32,-0.37,-0.47,2.46,74.18,5755
-1.32,-0.37,-0.47,2.39,74.18,5790
-1.32,-0.37,-0.47,2.46,74.18,5827
-1.32,-0.37,-0.48,2.39,74.18,5864
-1.32,-0.37,-0.48,2.46,74.18,5900
-1.32,-0.37,-0.48,2.38,74.18,5937
-1.32,-0.36,-0.49,2.46,74.18,5974
-1.32,-0.36,-0.49,2.38,74.18,6010
-1.31,-0.36,-0.49,2.47,74.18,6046
-1.31,-0.36,-0.49,2.39,74.18,6083
-1.30,-0.36,-0.49,2.46,74.18,6119
-1.30,-0.36,-0.48,2.39,74.18,6159
-1.29,-0.36,-0.48,2.46,74.18,6196
-1.29,-0.35,-0.48,2.39,74.18,6234
-1.29,-0.35,-0.48,2.46,74.18,6269
-1.29,-0.36,-0.48,2.38,74.18,6306
-1.29,-0.36,-0.48,2.46,74.18,6341
-1.29,-0.36,-0.48,2.39,74.18,6378
